epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.24651457369327545,0.0010000000474974513,1.9220571517944336,0.4026958644390106,1.6499987840652466
1,0.27883395552635193,0.0010000000474974513,1.7510976791381836,0.2898062467575073,1.7217093706130981
2,0.3040768802165985,0.0010000000474974513,1.6926028728485107,0.23083403706550598,2.1681406497955322
3,0.3196028769016266,0.0010000000474974513,1.6686679124832153,0.34962087869644165,1.59188973903656
4,0.3321715295314789,0.0010000000474974513,1.6505271196365356,0.16090986132621765,5.941834449768066
5,0.3486480712890625,0.0010000000474974513,1.579068660736084,0.2881213128566742,1.7147464752197266
6,0.35509082674980164,0.0010000000474974513,1.534442663192749,0.18618366122245789,3.8608357906341553
7,0.36882129311561584,0.0005000000237487257,1.4332746267318726,0.31002527475357056,1.705164909362793
8,0.3794887959957123,0.0005000000237487257,1.401689052581787,0.4102780222892761,1.5065038204193115
9,0.3918462097644806,0.0005000000237487257,1.3612747192382812,0.3934288024902344,1.5707141160964966
10,0.40346428751945496,0.0005000000237487257,1.3395745754241943,0.4010109603404999,1.4772870540618896
11,0.4014575481414795,0.0005000000237487257,1.3293269872665405,0.4010109603404999,1.5067167282104492
12,0.4083227813243866,0.0005000000237487257,1.298356294631958,0.39679864048957825,1.6258379220962524
13,0.4038867652416229,0.0005000000237487257,1.3085057735443115,0.4102780222892761,1.465456485748291
14,0.3998732566833496,0.0005000000237487257,1.343109130859375,0.3142375648021698,1.7613838911056519
15,0.4054710566997528,0.0005000000237487257,1.2871887683868408,0.4052232503890991,1.4371925592422485
16,0.40895649790763855,0.0005000000237487257,1.2592710256576538,0.4052232503890991,1.428310751914978
17,0.419518381357193,0.0005000000237487257,1.2427786588668823,0.40185341238975525,1.5079951286315918
18,0.4181453287601471,0.0005000000237487257,1.2350832223892212,0.44144901633262634,1.408080816268921
19,0.419624000787735,0.0005000000237487257,1.2264677286148071,0.4102780222892761,1.447447657585144
20,0.42405998706817627,0.0005000000237487257,1.1921943426132202,0.4161752462387085,1.486881136894226
21,0.4249049425125122,0.0005000000237487257,1.2002495527267456,0.4035383462905884,1.4215987920761108
22,0.43409380316734314,0.0002500000118743628,1.1927649974822998,0.44903117418289185,1.3346723318099976
23,0.4389522671699524,0.0002500000118743628,1.1485671997070312,0.4262847602367401,1.4067003726959229
24,0.43240389227867126,0.0002500000118743628,1.136132836341858,0.4321819841861725,1.3590391874313354
25,0.44518378376960754,0.0002500000118743628,1.119236707687378,0.4524010121822357,1.3732454776763916
26,0.4402197003364563,0.0001250000059371814,1.1093699932098389,0.44397640228271484,1.3527568578720093
27,0.447190523147583,0.0001250000059371814,1.098085880279541,0.4431339502334595,1.3717399835586548
28,0.4542669951915741,0.0001250000059371814,1.0795236825942993,0.4473462402820587,1.3410286903381348
29,0.4500422477722168,6.25000029685907e-05,1.0820534229278564,0.4574557840824127,1.3231241703033447
