Model,Test Accuracy,Macro F1,Weighted F1,Batch Size,Mean Batch Latency (ms),Median Batch Latency (ms),Throughput (images/sec),Parameters,Checkpoint Size (MB)
Scratch CNN,0.4501689076423645,0.388287488606495,0.533045839621448,32,35.433586399994965,35.33418150027501,903.0979714772691,458184,5.331258773803711
Fine-tuned ResNet50,0.5067567825317383,0.4267855546322556,0.5686218099500685,32,211.770085866677,210.6820045000859,151.1072721580992,24114312,206.74278831481934
