Class,Scratch CNN Recall,ResNet50 Recall,Scratch CNN F1,ResNet50 F1
Normal,0.4978813559322034,0.5190677966101694,0.6176084099868594,0.6464379947229552
Diabetic Retinopathy,0.4189526184538653,0.4513715710723192,0.5743589743589743,0.6104553119730185
Glaucoma,0.4466019417475728,0.5533980582524272,0.4766839378238341,0.5135135135135135
Cataract,0.6944444444444444,0.6666666666666666,0.5102040816326531,0.5106382978723404
AMD,0.2666666666666666,0.2333333333333333,0.0804020100502512,0.1521739130434782
Hypertension,0.2,0.1,0.0196078431372549,0.0235294117647058
Myopia,0.7692307692307693,0.7692307692307693,0.6060606060606061,0.6779661016949152
Others,0.2735849056603773,0.6132075471698113,0.2213740458015267,0.2795698924731182
