epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4057879149913788,0.0010000000474974513,1.5505530834197998,0.4111204743385315,1.5283963680267334
1,0.4532108008861542,0.0010000000474974513,1.3077690601348877,0.4313395023345947,1.4740264415740967
2,0.45342203974723816,0.0010000000474974513,1.253991961479187,0.43049705028533936,1.395382285118103
3,0.4666244089603424,0.0010000000474974513,1.2232896089553833,0.4052232503890991,1.4347028732299805
4,0.46292775869369507,0.0010000000474974513,1.1804726123809814,0.4422914981842041,1.397254467010498
5,0.46768060326576233,0.0005000000237487257,1.0973973274230957,0.46756529808044434,1.3168054819107056
6,0.491550475358963,0.0005000000237487257,1.0513967275619507,0.4743049740791321,1.3068894147872925
7,0.48109421133995056,0.0005000000237487257,1.0661555528640747,0.4684077501296997,1.2926793098449707
8,0.4886987805366516,0.0005000000237487257,1.0400686264038086,0.46419546008110046,1.2760109901428223
9,0.48943811655044556,0.0005000000237487257,1.0278337001800537,0.4684077501296997,1.2724727392196655
10,0.49630334973335266,0.0005000000237487257,0.9972535967826843,0.4919966161251068,1.2256540060043335
11,0.49778199195861816,0.0005000000237487257,1.0101776123046875,0.49620893597602844,1.2172229290008545
12,0.5103506445884705,0.0005000000237487257,0.9668952822685242,0.4970513880252838,1.1914328336715698
13,0.5015842914581299,0.0005000000237487257,0.9757524132728577,0.4658803641796112,1.2780523300170898
14,0.5066539645195007,0.0005000000237487257,0.9628438949584961,0.46419546008110046,1.2819972038269043
