epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5085551142692566,9.999999747378752e-06,0.9677239060401917,0.4582982361316681,1.331649661064148
1,0.5223912000656128,9.999999747378752e-06,0.9105659127235413,0.45998314023017883,1.2264258861541748
2,0.5214406251907349,9.999999747378752e-06,0.8829987645149231,0.48525694012641907,1.2152549028396606
3,0.5238698720932007,9.999999747378752e-06,0.8764188289642334,0.49368155002593994,1.2044488191604614
4,0.5398183465003967,9.999999747378752e-06,0.8378218412399292,0.5021061301231384,1.1878786087036133
5,0.5455217361450195,9.999999747378752e-06,0.7904131412506104,0.5012636780738831,1.2037482261657715
6,0.5539712905883789,9.999999747378752e-06,0.7695465087890625,0.4844144880771637,1.211398959159851
7,0.5738276243209839,4.999999873689376e-06,0.6927297711372375,0.5164279937744141,1.1589051485061646
8,0.5784748792648315,4.999999873689376e-06,0.6763499975204468,0.5164279937744141,1.1593360900878906
9,0.5841782689094543,4.999999873689376e-06,0.6644647121429443,0.5046335458755493,1.1902552843093872
10,0.5951626300811768,2.499999936844688e-06,0.6208057403564453,0.5122156739234924,1.1987872123718262
11,0.5862906575202942,2.499999936844688e-06,0.6319054365158081,0.5113732218742371,1.1884368658065796
12,0.5994930267333984,1.249999968422344e-06,0.5980665683746338,0.5181128978729248,1.1930804252624512
